"p0","model","KL","CRPS","pplc","runtime"
0.05,"direct_regression",0.498081302932923,0.747470005488909,20967.7245904257,25188.492
0.05,"transfer_function",0.416908442974175,0.795842692142759,22042.3118235197,27210.705
0.2,"direct_regression",0.166840808278226,0.656121927217822,17501.3139828933,25074.025
0.2,"transfer_function",0.132112511560698,0.72132123879791,19143.5693071709,26924.492
0.35,"direct_regression",0.124449302775363,1.32864998075295,34130.4625757656,24812.511
0.35,"transfer_function",0.0952362368459922,1.48525239913359,38158.662759131,27257.238
0.5,"direct_regression",0.127096963890176,3.96655432328278,97557.3091782644,24790.36
0.5,"transfer_function",0.0935367189518613,4.24298170067313,104302.746083332,27039.515
0.65,"direct_regression",0.184955114871541,15.9695698403976,369188.72582525,24389.442
0.65,"transfer_function",0.144643286258546,15.7252990147111,361126.691320821,27235.448
0.8,"direct_regression",0.340922262848443,94.8411279641764,2098411.4768188,24296.211
0.8,"transfer_function",0.292823335251285,81.2012050716497,1762685.80535977,27483.129
0.95,"direct_regression",0.8820944344206,2234.44246103833,47849308.2074325,24087.986
0.95,"transfer_function",0.813276696301016,1575.27982864036,32677946.626692,27987.761
