"covariate","base_term","lag","center","scale"
"flow_lag1","flow",1,120.185554144077,233.847115507043
"flow_sq_lag1","flow_sq",1,69011.4398377519,318563.309416568
"flow_lag2","flow",2,119.550816767336,233.714056133506
"flow_sq_lag2","flow_sq",2,68797.1905982322,318575.873971747
"flow_lag3","flow",3,118.974315437703,233.608211971396
"flow_sq_lag3","flow_sq",3,68610.3235812236,318590.258715104
"flow_lag4","flow",4,119.020926606624,233.599440292792
"flow_sq_lag4","flow_sq",4,68617.3274356091,318588.874007626
"flow_lag5","flow",5,119.141144732584,233.583730074726
"flow_sq_lag5","flow_sq",5,68638.6350679945,318584.852918828
"flow_lag6","flow",6,119.167998704141,233.573210749885
"flow_sq_lag6","flow_sq",6,68640.1310074616,318584.533756722
